"id_reservation","id_listing","id_guest","id_traveler","id_host","dim_cancellation_reason","ts_cancelled","ds"
"1E95E5B6","4699D0","19D8548","19D8548","61C937","uncomfortable_with_host","1508937662",2017-10-25
"3192223E","194343D","561C489","561C489","19E8A23","host_change","1530514743",2018-07-02
"39828DB7","1B2F96C","1C97A60","1C97A60","C005A7D","host_courtesy","1538159788",2018-09-28
"15D72B6B","127D5AB","7861C3","7861C3","7FF198A","extenuating_circumstance","1502290278",2017-08-09
"12A52BD6","114E414","78AB66","78AB66","74D617C","not_available","1492596380",2017-04-19
"305606B2","937CEC","BAB99E7","BAB99E7","436D71","unknown","1529232869",2018-06-17
"35E4855E","1A70CD3","B928EAF","B928EAF","ABD26CD","accommodations_unnecessary","1534868385",2018-08-21
"1B777482","C514F5","1DED20B","1DED20B","3FBF73","accidental_reservation","1504640986",2017-09-05
"3D3943F7","1C4ABA5","101EB45","101EB45","46D5FFC","accommodations_unnecessary","1542100020",2018-11-13
"F77D583","CF4FFE","13716","13716","49494E8","accommodations_unnecessary","1485385011",2017-01-25
"347623A7","B76093","917CC20","917CC20","3D51589","accidental_reservation","1533142631",2018-08-01
"2C127598","B7D1C4","113C93C","113C93C","218170C","host_courtesy","1524581797",2018-04-24
"27C0F0EB","F54DB7","1F07EA1","1F07EA1","63E64C6","accommodations_unnecessary","1522286332",2018-03-29
"2F55EF26","1395902","8600632","8600632","2D178C4","accommodations_unnecessary","1528684944",2018-06-11
"2964D7D4","5D8EDE","5E98A94","5E98A94","1E55BC2","host_courtesy","1523379552",2018-04-10
"3C0FCAAF","1BD5993","10BC852","10BC852","82CE4A7","other","1540916503",2018-10-30
"2B298176","47BADE","870C5B","870C5B","A0C327","unknown","1523772531",2018-04-15
"2985B1D0","14211CD","ABB532C","ABB532C","8306A45","travel_dates_changed","1522367289",2018-03-29
"3A3FBE0C","D3B680","59E12AA","59E12AA","1476EB1","other","1538936088",2018-10-07
"268F32A5","14FE5DF","145025F","145025F","994C8F3","host_legal_landlord","1522352451",2018-03-29
"1FA5A51F","149F8B0","2E773E5","2E773E5","8E01388","other","1510563556",2017-11-13
"209A0480","14D8162","4AAB0EF","4AAB0EF","9809F5E","accommodations_unnecessary","1512037959",2017-11-30
"1D87A06A","135D4CF","434EEE","434EEE","8A205A6","extenuating_circumstance","1510338222",2017-11-10
"1DF1D62D","DDE40F","250E0F0","250E0F0","2708C34","other","1508052385",2017-10-15
"2786ED91","E8D3A7","3384B26","3384B26","FC2846","accommodations_unnecessary","1520348360",2018-03-06
"2060EB41","CE5DAE","9BBE27","9BBE27","4A1ABC6","host_legal_landlord","1515606945",2018-01-10
"372C8F8C","167C28F","2D14188","2D14188","5D7BE8B","other","1539776808",2018-10-17
"16695881","1277636","102E371","102E371","29663F","extenuating_circumstance","1499724123",2017-07-10
"1B3CC40A","12DCC10","EE4AC9","EE4AC9","3CE84FC","not_available","1504536517",2017-09-04
"F0D8E1F","D373ED","519FD9A","519FD9A","48F81FD","extenuating_circumstance","1494572789",2017-05-12
"133AA1CE","8B90FB","10F2DB9","10F2DB9","2D6BA96","unknown","1494406012",2017-05-10
"28C041D6","11BD9EF","33B2A7","33B2A7","7B32F37","other","1522630391",2018-04-02
"1DF564E1","1328647","92F4250","92F4250","8837898","extenuating_circumstance","1512836691",2017-12-09
"1ABF4528","E1B52B","73336B9","73336B9","581A107","other","1507814075",2017-10-12
"20CC8E60","E61981","92C0B8F","92C0B8F","5734D86","other","1512454866",2017-12-05
"2EA6E23A","1AA21F","1BF6B3","1BF6B3","50013A","uncomfortable_with_host","1527815521",2018-06-01
"234E1FBF","133F75F","69D5015","69D5015","5D83F83","other","1515626939",2018-01-10
"39A1E37D","76D2AC","160C3AA","160C3AA","26BF1E3","other","1538320879",2018-09-30
"28D6C0E6","159E015","AADD034","AADD034","9F427B5","extenuating_circumstance","1528257398",2018-06-06
"1B887D4B","122DFE9","976D82","976D82","204E570","accommodations_unnecessary","1505123798",2017-09-11
"2C2DC37D","1631C8A","1D2EBF4","1D2EBF4","499D6B3","accommodations_unnecessary","1526589554",2018-05-17
"274B486B","D285F7","D9EF4C","D9EF4C","4BD73FD","accommodations_unnecessary","1522232499",2018-03-28
"2D77CC9D","1650A84","AA5FC3E","AA5FC3E","A656E5F","other","1529399793",2018-06-19
"293D003E","12E6CBF","AB5F1B6","AB5F1B6","1D1AB87","accommodations_unnecessary","1522082201",2018-03-26
"17B1AB95","104D756","52D733E","52D733E","6D63F61","extenuating_circumstance","1502887818",2017-08-16
"1A98955F","F9C578","21C058F","21C058F","4454B63","accommodations_unnecessary","1503934179",2017-08-28
"25C0B5D9","154D714","E061C2","E061C2","360A775","extenuating_circumstance","1518817287",2018-02-16
"3B7C2042","17BBFD7","96725B","96725B","8536E8","extenuating_circumstance","1542150223",2018-11-13
"1B2CEF9C","BC673F","3DAB745","3DAB745","3F9601B","uncomfortable_with_host","1504323612",2017-09-02
"1ECE1E9B","131E35C","2175E79","2175E79","176542E","accommodations_unnecessary","1523011682",2018-04-06
"2769A06C","10D9B97","129A70","129A70","3BAC6B9","accommodations_unnecessary","1520386614",2018-03-07
"2F485E29","E1575F","1721389","1721389","518402E","travel_dates_changed","1529237336",2018-06-17
"2F05CEFA","139A9FB","43017E1","43017E1","20D960E","host_legal_landlord","1528922216",2018-06-13
"3C731DEE","1C393FF","A8394C9","A8394C9","93688FB","host_courtesy","1541343074",2018-11-04
"2154577B","E03298","3ECA5E3","3ECA5E3","563936","accommodations_unnecessary","1513262456",2017-12-14
"23E7E634","EB531E","78C0483","78C0483","4C61A1E","other","1516211201",2018-01-17
"29C21607","790AED","1614F2E","1614F2E","27AA443","accommodations_unnecessary","1522695252",2018-04-02
"23A7E880","13E36B6","5875DF","5875DF","206EE5D","extenuating_circumstance","1517333704",2018-01-30
"39DF109C","12AD96F","8519F0","8519F0","FB81DA","accommodations_unnecessary","1538657082",2018-10-04
"31E78438","162D5DF","989CB16","989CB16","A50F90B","accidental_reservation","1530818480",2018-07-05
"140B250B","CC63E3","23BE96","23BE96","A268A8","other","1496853783",2017-06-07
